time_s,velocity_um_per_s,velocity_smooth_um_per_s
1.5,3.85905590785883,3.78558436724422
1.53333333333333,3.80728003304104,3.77174624265307
1.56666666666667,3.80696483435367,3.75639323977945
1.6,3.83685825252982,3.74498805522506
1.63333333333333,3.83938553026367,3.73804081807907
1.66666666666667,3.80728003304107,3.7336192250824
1.7,3.80408415390708,3.73129838146206
1.73333333333333,3.87133374949867,3.73139043684563
1.76666666666667,3.93956295164691,3.73272373262716
1.8,3.94442961655936,3.73267731458997
1.83333333333333,3.90835403335025,3.72965240031577
1.86666666666667,3.78493477486871,3.72397215563087
1.9,3.60411136759114,3.71788189302547
1.93333333333333,3.69677646740804,3.71874433097625
1.96666666666667,3.90166150504885,3.72854829960971
2,3.90312454963888,3.73886058894559
2.03333333333333,3.81009596335966,3.74468067329731
2.06666666666667,3.76472857587581,3.7479790126201
2.1,3.82418782227097,3.75421076051029
2.13333333333333,3.99006422254149,3.76748485293728
2.16666666666667,4.10136943593495,3.78336021349974
2.2,4.03063580592676,3.79450103148572
2.23333333333333,3.88229555160448,3.80173338823338
2.26666666666667,3.74621225373048,3.80806198508422
2.3,3.6562634615129,3.81405408129154
2.33333333333333,3.66401760366834,3.82097006179009
2.36666666666667,3.75298631092355,3.82980777813213
2.4,3.76173663352096,3.8346889431914
2.43333333333333,3.55693776301833,3.8255459428526
2.46666666666667,3.37005285566843,3.8075594006721
2.5,3.36254553872569,3.79100905503433
2.53333333333333,3.36660622882999,3.7763199282273
2.56666666666667,3.31158949750691,3.75980741699907
2.6,3.24926626332984,3.74022101735907
2.63333333333333,3.19825049832106,3.71884984962765
2.66666666666667,3.18416099624296,3.69807921506771
2.7,3.25750479661866,3.6798599031581
2.73333333333333,3.34485705972634,3.66231068016569
2.76666666666667,3.41345591007144,3.64477377877984
2.8,3.4806276373658,3.62931371280672
2.83333333333333,3.47771656406785,3.61495913049731
2.86666666666667,3.433868081333,3.60325690737945
2.9,3.39116591307501,3.59615872556225
2.93333333333333,3.31103552532981,3.58330069415964
2.96666666666667,3.20950346626859,3.56022875953363
3,3.1989470924047,3.53675617762583
3.03333333333333,3.36740998395281,3.52199997831226
3.06666666666667,3.58508106603266,3.51601172798416
3.1,3.61659456533469,3.50909195275295
3.13333333333333,3.47645473147496,3.49197163638407
3.16666666666667,3.37256671542513,3.46767821236707
3.2,3.38466948164726,3.44614600155776
3.23333333333333,3.43286414674369,3.43116495472906
3.26666666666667,3.43500000000084,3.42079121293807
3.3,3.4505053977651,3.41393261081315
3.33333333333333,3.53799201525349,3.40973175786599
3.36666666666667,3.56722844095966,3.40353982886719
3.4,3.52447602488603,3.39563114191269
3.43333333333333,3.51954808888858,3.3943848194417
3.46666666666667,3.54282637875436,3.4001439368779
3.5,3.53842302445584,3.40600651973557
3.53333333333333,3.49181185060145,3.41018004046128
3.56666666666667,3.43853984272332,3.41441171863516
3.6,3.43382530860112,3.42056368681087
3.63333333333333,3.48693006095593,3.4301863388987
3.66666666666667,3.48261755006263,3.44013489069269
3.7,3.3547280068578,3.44337566436733
3.73333333333333,3.27536829990128,3.44105937237316
3.76666666666667,3.3545510131764,3.43909587580999
3.8,3.35850971414379,3.43502527836926
3.83333333333333,3.21138307431605,3.42614749537753
